PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Queen,puzzle_ref
W1fo8,6r1/1pp1Q1k1/8/3Pp2R/p1P5/4q2P/1P4r1/5K2 b - - 5 39,g7g6 e7h7 g6f6 h5f5,1730,75,97,1521,endgame fork mate mateIn2 short,https://lichess.org/9bpBgRJL/black#78,,TRUE,https://lichess.org/training/W1fo8
W1zfY,2b3k1/r4p1p/p4qBQ/2p5/P2p4/8/1PP2PPP/4R1K1 b - - 0 21,f7g6 e1e8 f6f8 e8f8,805,93,91,125,endgame fork mate mateIn2 short,https://lichess.org/G1f9yRwR/black#42,,TRUE,https://lichess.org/training/W1zfY
W4BoS,3r1rk1/pbq2p1p/1p2pRBQ/4P3/3P1R2/8/P1P3PP/6K1 b - - 0 24,f7g6 f6f8 d8f8 f4f8,1160,76,100,242,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/qPbgs1iJ/black#48,,TRUE,https://lichess.org/training/W4BoS
W4ks6,rnb1rk1Q/pp6/5p2/3qp3/3P2P1/2P5/PP3PP1/R3K2R b KQ - 2 19,d5g8 h8f6 g8f7 h1h8,1311,76,100,556,mate mateIn2 middlegame short,https://lichess.org/osGA2plz/black#38,,TRUE,https://lichess.org/training/W4ks6
W5vNh,4rrk1/3p1p2/p4Qp1/4P3/7R/2p1q2P/6P1/5R1K b - - 5 31,e3e5 h4h8,1327,75,100,271,endgame mate mateIn1 oneMove,https://lichess.org/AS8dHHVK/black#62,,TRUE,https://lichess.org/training/W5vNh
W6sbz,Q1kr2r1/2q2p1p/1p1p1p1b/3P4/2P3n1/5N2/1P3RPP/R5K1 b - - 2 26,c7b8 a8c6 b8c7 a1a8,1390,90,100,31,clearance mate mateIn2 middlegame queensideAttack short,https://lichess.org/4N8TbLqd/black#52,,TRUE,https://lichess.org/training/W6sbz
W6vkx,3r1r2/2q2p2/2p3n1/p3p1PR/4bk2/7Q/PK6/5R2 b - - 3 37,e4f3 h3f3,1186,77,95,261,mate mateIn1 middlegame oneMove,https://lichess.org/LQu6SbGE/black#74,,TRUE,https://lichess.org/training/W6vkx
W8VAL,2r5/1b1r4/pp2pQpk/2qpPp2/P2R4/2N2P2/1PP3P1/3R3K b - - 3 28,c5e7 d4h4,1101,80,69,64,mate mateIn1 middlegame oneMove,https://lichess.org/RlfwXaQp/black#56,,TRUE,https://lichess.org/training/W8VAL
W9FFm,8/ppp1RR2/7p/6pk/5p2/1P1P1qrP/1PP2P1K/5Q2 w - - 4 28,f1e2 g3h3 h2g1 h3h1,1973,77,93,1089,endgame mate mateIn2 short,https://lichess.org/6vTyyi4e#55,,TRUE,https://lichess.org/training/W9FFm
WB3C3,7R/3r3p/1pn3pk/2b5/1n3QP1/7P/4K3/8 b - - 8 40,g6g5 f4f6,876,80,87,191,endgame mate mateIn1 oneMove,https://lichess.org/4zPo8vYq/black#80,,FALSE,https://lichess.org/training/WB3C3
