PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,puzzle_ref,Valid,Quadrant,Mating_Color,Mated_King,Knight_Attack,Knight_Restrict,Bishop_Restrict
ZqA52,r2qkb1r/1pp2pp1/p2p3p/4N2b/2BnP3/2NP3P/PPP2PP1/R2Q1RK1 b kq - 0 12,h5d1 c4f7 e8e7 c3d5,1335,74,84,441,attackingF2F7 mate mateIn2 middlegame short,https://lichess.org/TjYxvva4/black#24,Philidor_Defense Philidor_Defense_Other_variations,https://lichess.org/training/ZqA52,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
uH906,r2qkbnr/ppp2ppp/2np4/4N3/2B1Ppb1/2N5/PPPP2PP/R1BQK2R b KQkq - 1 6,g4d1 c4f7 e8e7 c3d5,1335,77,94,23897,attackingF2F7 mate mateIn2 opening short,https://lichess.org/zhKuPa2k/black#12,Kings_Gambit Kings_Gambit_Other_variations,https://lichess.org/training/uH906,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
KrZ6C,r2q1bnr/pp2kBpp/3p4/2p1N1B1/3nP3/2NP4/PPP2PPP/R2b1RK1 b - - 2 9,g8f6 c3d5,1335,80,88,77,mate mateIn1 middlegame oneMove,https://lichess.org/UIdwcX9w/black#18,Sicilian_Defense Sicilian_Defense_Closed,https://lichess.org/training/KrZ6C,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
OuxcR,r2qkbnr/ppp2p1p/3p2p1/4N3/2BnPPb1/2N5/PPPP2PP/R1BQ1RK1 b kq - 0 7,g4d1 c4f7 e8e7 c3d5,1337,82,93,3836,attackingF2F7 mate mateIn2 opening short,https://lichess.org/PH8ZRTz4/black#14,Kings_Gambit Kings_Gambit_Other_variations,https://lichess.org/training/OuxcR,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
YJpin,rn1qkbnr/ppp3pp/3p1p2/4N2b/2B1P3/2N4P/PPPP1PP1/R1BQK2R b KQkq - 0 6,h5d1 c4f7 e8e7 c3d5,1337,76,95,27114,mate mateIn2 opening short,https://lichess.org/kH0W5b4O/black#12,Kings_Pawn_Game Kings_Pawn_Game_Damiano_Defense,https://lichess.org/training/YJpin,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
TOQVF,rn1qkbnr/1pp2pp1/3p3p/p3N3/2BPPpb1/2N5/PPP3PP/R1BQK2R b KQkq - 2 7,g4d1 c4f7 e8e7 c3d5,1338,75,87,441,attackingF2F7 mate mateIn2 opening short,https://lichess.org/KFKhR9yM/black#14,Vienna_Game Vienna_Game_Other_variations,https://lichess.org/training/TOQVF,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
ncbhZ,r2qkbnr/1p3ppp/p2p4/P1p1N3/2BnP1b1/2N5/1PPP1PPP/R1BQ1RK1 b kq - 0 8,g4d1 c4f7 e8e7 c3d5,1339,75,89,1835,attackingF2F7 mate mateIn2 middlegame short,https://lichess.org/kKAGmehi/black#16,Sicilian_Defense Sicilian_Defense_Bowdler_Attack,https://lichess.org/training/ncbhZ,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
btaYr,r2qkbnr/ppp2ppp/3p4/n3N3/2B1P1b1/P1N5/1PPP1PPP/R1BQK2R b KQkq - 0 6,g4d1 c4f7 e8e7 c3d5,1339,76,92,4493,attackingF2F7 mate mateIn2 opening short,https://lichess.org/sRQ3LuHc/black#12,Philidor_Defense Philidor_Defense_Other_variations,https://lichess.org/training/btaYr,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
Ulaju,r2qkb1r/ppp2ppp/3p4/4N3/2BnP1b1/2NP4/PPP2P2/R1BQ1RK1 b kq - 0 10,g4d1 c4f7 e8e7 c3d5,1339,75,84,366,attackingF2F7 mate mateIn2 opening short,https://lichess.org/sKfbQfFp/black#20,Italian_Game Italian_Game_Two_Knights_Defense,https://lichess.org/training/Ulaju,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
0rEgR,rn1qkbnr/pp3ppp/3p4/2p1N3/2B1P1b1/2N5/PPPP1PPP/R1BQK2R b KQkq - 0 5,g4d1 c4f7 e8e7 c3d5,1339,74,95,37006,attackingF2F7 mate mateIn2 opening short,https://lichess.org/i3LqKKXd/black#10,Philidor_Defense Philidor_Defense_Other_variations,https://lichess.org/training/0rEgR,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
sGzMf,r2qkbnr/pp3ppp/2np4/2p1N3/2BPPpb1/2N5/PPP3PP/R1BQK2R b KQkq - 3 7,g4d1 c4f7 e8e7 c3d5,1340,75,80,183,attackingF2F7 mate mateIn2 opening short,https://lichess.org/hjPRM9fL/black#14,Kings_Gambit Kings_Gambit_Other_variations,https://lichess.org/training/sGzMf,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
as6kD,r1bqk2r/ppp2ppp/2np4/2bNp1B1/4n3/3P1P2/PPP3PP/R2QKBNR w KQkq - 0 7,g5d8 c5f2 e1e2 c6d4,1340,106,80,28,mate mateIn2 opening short,https://lichess.org/KuUxmiYP#13,Kings_Pawn_Game Kings_Pawn_Game_Kings_Head_Opening,https://lichess.org/training/as6kD,True,bottom-right 1,black,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
