PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Queen_Bishop,puzzle_ref
nEobI,1Q6/5pbk/B2Q2p1/3P4/4p3/6P1/7P/3q1K2 w - - 5 45,f1f2 d1f3 f2e1 g7c3,1931,79,82,324,endgame mate mateIn2 short,https://lichess.org/AxOoowuO#89,,True,https://lichess.org/training/nEobI
nPstr,7Q/p2k1ppp/p3p3/3p4/qb1P1B2/4PN2/5PPP/3K3R w - - 0 19,d1e2 a4b5 e2d1 b5d3 d1c1 b4a3,2299,79,93,4129,endgame long mate mateIn3,https://lichess.org/heeDVkoC#37,,True,https://lichess.org/training/nPstr
nTjbV,r1b1k2r/pp3ppp/8/2p5/2N4b/1P1PqnP1/PBP1B2P/R2QK2R w KQkq - 1 15,e1f1 c8h3,1568,78,79,79,mate mateIn1 oneMove opening,https://lichess.org/CVoB33T7#29,Sicilian_Defense Sicilian_Defense_Snyder_Variation,True,https://lichess.org/training/nTjbV
nVQyy,7k/p5p1/Q4b1p/7q/8/1P1P1P1r/P5P1/3RR2K w - - 0 31,g2h3 h5h3 h1g1 f6d4 e1e3 d4e3,1363,75,100,271,endgame exposedKing long mate mateIn3,https://lichess.org/BhAJReNm#61,,True,https://lichess.org/training/nVQyy
naUXj,rnb3k1/pp3Bq1/6Q1/8/8/4P3/P3KPP1/2B5 b - - 0 21,g8f8 c1a3,1304,85,50,62,mate mateIn1 middlegame oneMove,https://lichess.org/apCVU5of/black#42,,True,https://lichess.org/training/naUXj
nb2Tl,6r1/6k1/6Q1/8/4BP2/2pK3P/3b4/4q3 b - - 12 65,g7f8 g6f6 f8e8 e4c6,1651,79,100,51,endgame mate mateIn2 short,https://lichess.org/jsspYYOh/black#130,,True,https://lichess.org/training/nb2Tl
njA8A,5q1k/1Q6/8/4p3/P2bP3/3P1b2/2P3P1/5K2 w - - 2 38,g2f3 f8f3 f1e1 d4c3,1623,74,86,100,endgame mate mateIn2 short,https://lichess.org/vJa8M046#75,,True,https://lichess.org/training/njA8A
nnKJh,r3k2r/p4pBp/1p2p3/2p2b2/2B2Qn1/2PP3q/P1P2P1P/R4RK1 b kq - 0 15,h8g8 c4b5 e8d8 f4d6 d8c8 b5a6,2123,76,95,7004,long mate mateIn3 middlegame,https://lichess.org/B24sCGio/black#30,Scandinavian_Defense Scandinavian_Defense_Modern_Variation,True,https://lichess.org/training/nnKJh
no23S,rq3b1r/pp2nppp/4pk2/4n3/4QB1P/8/PP3PP1/R4RK1 b - - 0 16,e7g6 f4g5,1314,74,69,328,mate mateIn1 middlegame oneMove,https://lichess.org/mmsikUqx/black#32,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit,True,https://lichess.org/training/no23S
noyV4,2k5/7p/3Qp1p1/4N3/8/6P1/3p1PKP/4qB2 b - - 9 40,d2d1q f1a6,1621,76,95,7709,endgame master mate mateIn1 oneMove,https://lichess.org/qIGPQ0aU/black#80,,True,https://lichess.org/training/noyV4
nqZkU,r1bqk1nr/ppN1b1pp/5p2/3pQ3/1P6/P1P5/5PPP/RN2KB1R b KQkq - 1 14,e8d7 f1b5,1392,74,95,8461,mate mateIn1 oneMove opening,https://lichess.org/RGYzO7om/black#28,French_Defense French_Defense_Advance_Variation,True,https://lichess.org/training/nqZkU
nu5dU,r1bqrnk1/ppp2p2/2np1b1Q/6N1/2BPP1P1/2N4P/PPP3K1/R4R2 b - - 2 17,f6g5 c4f7,1076,75,95,323,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/3HW5Uojy/black#34,Kings_Gambit_Accepted Kings_Gambit_Accepted_Cunningham_Defense,True,https://lichess.org/training/nu5dU
nzaWO,4r2k/1Q1R4/1p3pp1/2b3n1/4p3/2Pq2B1/P2K4/3R4 w - - 2 37,d2c1 c5a3,1572,86,53,522,master mate mateIn1 middlegame oneMove,https://lichess.org/uQFuRsBg#73,,True,https://lichess.org/training/nzaWO
