PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,RookMoves,puzzle_ref
yv8th,1k2r3/1p6/p4R2/P1Rp2Np/1P1P3P/4r1P1/5P2/6K1 w - - 0 37,f2f3 e3e1 g1h2 e8e2 h2h3 e1h1,1078,108,100,24,endgame exposedKing long mate mateIn3,https://lichess.org/5sJjnEel#73,,True,2,https://lichess.org/training/yv8th
NqouX,8/1p2pRk1/3p4/3P2pP/6P1/1P6/7K/r2r1R2 b - - 0 36,g7g8 f7f8 g8h7 f1f7 h7h6 f8h8,1078,76,86,370,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/yzOKYfl0/black#72,,True,2,https://lichess.org/training/NqouX
GTD7T,r2r4/2pk1p2/2p5/8/3p4/1K1P4/2PN1PP1/3R2NR w - - 1 26,g1f3 d8b8 b3c4 a8a4 c4c5 b8b5,1079,80,92,1237,endgame exposedKing long mate mateIn3,https://lichess.org/N0FIbddP#51,,True,2,https://lichess.org/training/GTD7T
bYd3R,8/8/1p1p2k1/pP1P2p1/P1P1P1Pp/1B1r1r1P/3p1p1K/1R3R2 w - - 6 49,b3d1 f3h3 h2g2 d3g3 g2f2 h3h2,1079,87,93,7652,endgame long mate mateIn3,https://lichess.org/mr4GNYCi#97,,True,2,https://lichess.org/training/bYd3R
AjFpQ,8/3R2k1/8/3R1K2/2r2p2/5Pr1/8/8 b - - 5 59,g7f8 d7d8 f8g7 d5d7 g7h6 d8h8,1079,79,83,98,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/bAw7LdX0/black#118,,True,2,https://lichess.org/training/AjFpQ
3Ij7P,5rk1/p6R/1np3P1/1p1p1PQ1/3P2r1/2P5/PP6/2K4R b - - 0 32,g4g5 h7h8 g8g7 h1h7 g7f6 h8f8,1079,81,89,1283,deflection endgame exposedKing long mate mateIn3,https://lichess.org/UhVJZObZ/black#64,,True,2,https://lichess.org/training/3Ij7P
4OY46,r4r1k/5p2/p2pp3/n5R1/Bp2P2P/2qP1N2/P1P1KP2/7R b - - 3 24,f7f6 g5h5 h8g7 h1g1 g7f7 h5h7,1080,78,89,423,exposedKing fork long mate mateIn3 middlegame,https://lichess.org/o1pft3o5/black#48,,True,2,https://lichess.org/training/4OY46
DKdI3,5br1/2kR1p2/1pp3rp/p3pN2/2P1n3/1P4PP/P6B/3R2K1 b - - 1 29,c7b8 d7d8 b8a7 d1d7 a7a6 d8a8,1080,81,88,49,exposedKing long mate mateIn3 middlegame queensideAttack,https://lichess.org/9wAhTZTU/black#58,,True,2,https://lichess.org/training/DKdI3
EMGMa,8/p3R1k1/1p5p/8/P1rr1pP1/8/5P1P/4R1K1 b - - 3 33,g7g6 e1e6 g6g5 e7g7 g5h4 e6h6,1080,79,89,367,deflection endgame long mate mateIn3 rookEndgame,https://lichess.org/MdPMuPb1/black#66,,True,2,https://lichess.org/training/EMGMa
kdIql,3R4/pq2p1k1/1p2P3/5pP1/4n1Q1/P1P5/1P6/5RK1 b - - 0 35,f5g4 f1f7 g7g6 d8g8 g6h5 f7h7,1080,77,95,1102,endgame exposedKing long mate mateIn3,https://lichess.org/cTZdSEU8/black#70,,True,2,https://lichess.org/training/kdIql
7Z0Xa,5r2/kq3r2/B1Qp4/3Pp3/4P1Pp/8/8/7K w - - 0 39,a6b7 f7f1 h1h2 f8f2 h2h3 f1h1,1080,85,91,341,endgame exposedKing long mate mateIn3,https://lichess.org/cUpZ51Y1#77,,True,2,https://lichess.org/training/7Z0Xa
vFAnw,8/1br1r1k1/pR4Rp/1pPp4/8/P1P4P/5PP1/6K1 b - - 0 37,g7f7 b6f6 f7e8 g6g8 e8d7 f6d6,1080,77,91,2340,endgame exposedKing long mate mateIn3,https://lichess.org/0FR4DSs3/black#74,,True,2,https://lichess.org/training/vFAnw
2XnhY,4N3/7r/pP1R1p2/4p3/4P3/2k2PPr/7P/7K w - - 1 45,e8f6 h3h2 h1g1 h2h1 g1f2 h7h2 f2e3 h1e1,1081,76,80,217,endgame mate mateIn4 veryLong,https://lichess.org/2KDpKMz8#89,,True,2,https://lichess.org/training/2XnhY
VsiXa,rk6/5p2/1p2p1n1/1r2Pn2/P1RP4/6P1/1P3P1P/2R3K1 b - - 1 27,b5a5 c4c8 b8a7 c1c7 a7a6 c8a8,1081,78,64,85,deflection endgame exposedKing long mate mateIn3 queensideAttack,https://lichess.org/WKE8us1a/black#54,,True,2,https://lichess.org/training/VsiXa
8wt3B,8/p5k1/2p4R/5p2/1r4rP/1P5K/P1P1RP2/8 w - - 5 37,h6c6 g4h4 h3g2 b4g4 g2f1 h4h1,1081,86,94,2046,endgame long mate mateIn3 rookEndgame,https://lichess.org/LxlD3oL3#73,,True,2,https://lichess.org/training/8wt3B
KTMFU,4r1k1/R1P5/7p/3R2p1/2P1K1P1/1r6/5P2/8 w - - 1 40,e4f5 b3f3 f5g6 e8e6 g6h5 f3h3,1082,92,95,2130,endgame long mate mateIn3 rookEndgame,https://lichess.org/h8WCjatN#79,,True,2,https://lichess.org/training/KTMFU
h9aPD,6k1/pp2q2R/4p1p1/2p1p1N1/2Pn4/1B1K2P1/PP2r3/7R b - - 2 26,e7g5 h7h8 g8f7 h1h7 f7f6 h8f8,1082,77,100,376,endgame exposedKing long master mate mateIn3,https://lichess.org/IlK7qxQN/black#52,,True,2,https://lichess.org/training/h9aPD
Mo8B4,4r1k1/1p4r1/3p1Q2/P2P3P/1P6/5p2/5P2/7K w - - 5 43,h5h6 e8e1 h1h2 g7g2 h2h3 e1h1,1082,85,91,320,endgame exposedKing long mate mateIn3 queenRookEndgame,https://lichess.org/Qea74zWg#85,,True,2,https://lichess.org/training/Mo8B4
