PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Queen,puzzle_ref,unique_id
0U3ri,r2q1rkR/5p2/p1pp4/4pbn1/2B1P1PQ/2N5/PPP2PK1/8 b - - 1 33,g8g7 h4h6,1174,77,89,245,mate mateIn1 middlegame oneMove,https://lichess.org/jfePFmiQ/black#66,,True,https://lichess.org/training/0U3ri,10530
0UWWl,6k1/7p/5p1Q/p2q2pP/8/2P1RK2/PP3PP1/5r2 w - - 5 33,f3e2 d5d1,886,78,100,114,endgame master mate mateIn1 oneMove,https://lichess.org/knt4wI31#65,,True,https://lichess.org/training/0UWWl,10667
0UwcT,1kq4r/p1n1R3/1pQp3r/2p5/8/P1N2N2/1PP2PP1/3R2K1 w - - 7 32,g2g3 h6h1 g1g2 c8h3,1551,75,76,2169,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/ltlT53Gd#63,,True,https://lichess.org/training/0UwcT,10820
0V1wB,r6r/pppbk1pp/1bn2q2/4P3/8/1B6/P5PP/RN1Q1R1K b - - 0 20,f6h4 f1f7 e7e8 d1d7,1251,77,90,91,mate mateIn2 middlegame short,https://lichess.org/YbB71ExO/black#40,,True,https://lichess.org/training/0V1wB,10849
0VDXf,r5k1/pp3ppp/7q/2P2Q2/2P3nr/5N2/PP2BP2/R2R2K1 w - - 1 21,f5g5 h4h1 g1g2 h6h3,1445,118,100,35,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/gXXuSRVt#41,,True,https://lichess.org/training/0VDXf,10908
0VQlf,r3r3/pp3p1p/2k5/2bR4/Q1P5/4q3/PP4PP/1K6 b - - 2 27,c6b6 a4b5 b6c7 d5d7 c7c8 b5b7,1951,75,85,426,endgame exposedKing long mate mateIn3,https://lichess.org/jzjkfYYU/black#54,,True,https://lichess.org/training/0VQlf,10987
0VRNw,rnR3nr/pk5p/B3Q3/2p3q1/8/2P5/PP4PP/7K b - - 6 24,b8a6 e6c6,1298,247,48,26,mate mateIn1 middlegame oneMove,https://lichess.org/PcJrNG5B/black#48,,True,https://lichess.org/training/0VRNw,10990
0VWkH,2rqr1k1/p4Rpp/2p2R2/2Pp2p1/B7/4P2P/PPQ5/1K6 b - - 0 29,g7f6 c2h7,807,93,92,224,endgame master mate mateIn1 oneMove,https://lichess.org/HV8b4I8F/black#58,,True,https://lichess.org/training/0VWkH,11018
0YKCy,6k1/p4pq1/7R/1p1r2P1/4Q3/2P5/P1K2P2/8 b - - 0 32,g7g5 e4e8 g8g7 e8h8,1680,75,94,587,endgame mate mateIn2 short,https://lichess.org/8PeYKS3Y/black#64,,True,https://lichess.org/training/0YKCy,12018
0YOuN,r5k1/1p3ppp/4b2q/p2p3r/2pQ4/P1P1PN2/1PB2PP1/R4RK1 w - - 2 22,g2g3 h5h1 g1g2 h6h3,1314,76,87,211,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/IPRTQh1o#43,,True,https://lichess.org/training/0YOuN,12049
0YjX0,8/p4p1k/6pp/8/4Q2P/P5P1/1q5r/2R1R1K1 w - - 1 26,a3a4 b2f2,1494,92,85,852,endgame mate mateIn1 oneMove,https://lichess.org/h2AszJiC#51,,True,https://lichess.org/training/0YjX0,12179
0ZUYD,8/ppk4Q/2nN1pr1/2R1p3/4P3/P5P1/1q3PKP/7r b - - 5 28,c7d6 c5d5 d6e6 h7d7,1268,166,58,28,endgame mate mateIn2 short,https://lichess.org/6IGrpqpn/black#56,,True,https://lichess.org/training/0ZUYD,12417
0aLhq,r1bk1b1r/pp1Rn2p/5N2/8/8/5Q2/PPq3PP/3R2K1 b - - 0 19,c8d7 d1d7 d8c8 f3b7,871,196,88,28,mate mateIn2 middlegame short,https://lichess.org/DxzBhkQR/black#38,Kings_Gambit_Accepted Kings_Gambit_Accepted_Double_Muzio_Gambit,True,https://lichess.org/training/0aLhq,12667
0b3mE,7k/p2B1p1p/7q/4p2r/3PP1n1/PR3N2/5PP1/3Q1RK1 w - - 1 24,g2g3 h5h1 g1g2 h6h3,1407,74,96,20814,mate mateIn2 middlegame short,https://lichess.org/le5DKR8r#47,,True,https://lichess.org/training/0b3mE,12920
0ba8n,6rk/1p4rp/p3R3/4PQ2/2pP1R2/6P1/7P/4q1K1 w - - 1 35,g1g2 g7g3 h2g3 g8g3 g2h2 e1g1,1941,73,94,11671,endgame long mate mateIn3 sacrifice,https://lichess.org/2XzyquSv#69,,True,https://lichess.org/training/0ba8n,13087
0dY6y,r5r1/1pQ5/p4k1R/3p4/P3p1q1/1PP1P3/2K5/8 b - - 7 37,f6f5 c7f7 f5g5 f7f6,1681,76,93,622,endgame mate mateIn2 short,https://lichess.org/YqPT1hML/black#74,,True,https://lichess.org/training/0dY6y,13701
0dqoW,7k/1p4b1/p1pQ4/P6p/5RPq/2P4P/1P2r2K/3R4 w - - 1 32,h2g1 h4g3 g1f1 g3g2,1398,91,87,54,endgame mate mateIn2 short,https://lichess.org/Mk8iW7zc#63,,True,https://lichess.org/training/0dqoW,13802
0eOtw,r4rk1/bpp1qp2/p3p2R/2n1P2Q/2N1b2P/2P3P1/5P2/4R1K1 b - - 2 27,e4g6 h6h8 g8g7 h5h6,1173,74,90,269,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/TdEfhod0/black#54,,True,https://lichess.org/training/0eOtw,13977
0edi3,r3rb2/ppp2pRk/5n1B/8/8/P4PQ1/1PP2PKP/RN1q4 b - - 2 22,h7h6 g3g5,1046,77,89,461,mate mateIn1 middlegame oneMove,https://lichess.org/OpQVCjEf/black#44,,True,https://lichess.org/training/0edi3,14055
0emxj,6k1/pb4r1/8/1p6/2p5/P3qP1Q/1P1R2P1/4RK2 b - - 0 38,e3d2 e1e8 g8f7 h3e6,1178,76,88,227,endgame mate mateIn2 short,https://lichess.org/dzkQNq4C/black#76,,True,https://lichess.org/training/0emxj,14107
0exsL,3r2k1/p1p2pp1/7p/8/2Q1Pq2/2P5/P3KPPP/5B1R w - - 3 21,g2g3 d8d2 e2e1 f4f2,1566,76,89,1806,attackingF2F7 endgame mate mateIn2 short,https://lichess.org/yORnV2Qk#41,,True,https://lichess.org/training/0exsL,14172
0f37X,6k1/8/6p1/3R1p2/6K1/3Q1P1P/P4qP1/4r3 w - - 0 38,g4g5 f2g3 g5f6 g3h4 f6g6 e1e6 g6f5 e6f6 f5e5 h4f4,2150,76,94,3547,endgame mate mateIn5 sacrifice veryLong,https://lichess.org/1f0HMVt5#75,,True,https://lichess.org/training/0f37X,14191
