PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Queen,puzzle_ref
IexT6,5rk1/2Q3b1/p6P/Pp1pP2R/1PpP4/3q4/3N4/3K1r1R w - - 1 39,h1f1 f8f1,945,77,100,161,mate mateIn1 middlegame oneMove pin,https://lichess.org/h970EzFt#77,,True,https://lichess.org/training/IexT6
IfEMW,3r2k1/ppp2ppp/5r2/2b5/n5B1/2PP2Pq/PP5P/RNBQ2KR w - - 5 21,d3d4 d8d4 c3d4 c5d4 d1d4 f6f1,2004,75,90,2981,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/wrHgn0zw#41,,True,https://lichess.org/training/IfEMW
IfHWp,Rr3r2/1P1k1p1p/1p2b3/1P6/4N3/2P3P1/2KQ3P/5q2 b - - 1 30,d7c7 d2d6 c7b7 d6c6,1704,97,88,29,mate mateIn2 middlegame short,https://lichess.org/l9CAaxxm/black#60,,True,https://lichess.org/training/IfHWp
IhX5P,1k3b1r/r2R2p1/pQ6/1p2P3/1P6/2q4p/2P3PP/1K6 b - - 1 32,b8c8 d7d8,1655,156,54,13,endgame mate mateIn1 oneMove,https://lichess.org/zGNJ4oIh/black#64,,True,https://lichess.org/training/IhX5P
Iis38,2r5/1p1k1pp1/4p1b1/3p2Pp/3N3P/qP1P3Q/P2R1P2/1Kr1R3 w - - 1 24,e1c1 c8c1,529,93,94,578,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/ePGCXsQX#47,,True,https://lichess.org/training/Iis38
IjXsv,7r/p1p1Q1k1/2p3P1/2pbp3/4qpR1/1P6/P7/5NK1 b - - 2 37,g7h6 g4h4 h6g6 h4g4 g6f5 g4g5,1952,125,50,38,endgame exposedKing long mate mateIn3,https://lichess.org/uXBwfwcH/black#74,,True,https://lichess.org/training/IjXsv
IlHRN,2r3k1/p1r2pp1/1p5p/nR3Q2/6P1/P1P1P2P/1P1N4/q1K2R2 w - - 1 28,c1c2 c7c3 b2c3 c8c3,1959,75,97,1681,mate mateIn2 middlegame sacrifice short,https://lichess.org/RMCFwMty#55,,True,https://lichess.org/training/IlHRN
IlHd2,1k3b1r/2prppp1/QpRp4/3n3q/p2P4/P3BP2/7P/2R3K1 b - - 7 29,d5e3 c6b6 c7b6 c1c8,1872,74,95,14594,clearance mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/P3OeVFWr/black#58,,True,https://lichess.org/training/IlHd2
IlI7m,5Rrk/7p/p2p2pQ/1p4P1/4P3/P5qP/1PrN4/5R1K b - - 0 34,c2d2 f8g8 h8g8 f1f8,1011,77,93,961,attraction endgame mate mateIn2 short,https://lichess.org/2rQnc2D2/black#68,,True,https://lichess.org/training/IlI7m
Io10l,6k1/p5p1/1rrp1p1p/3R1P2/2p1q3/P1P3Q1/2P4P/4R1K1 b - - 1 25,e4d5 e1e8 g8f7 g3g6,947,81,95,274,endgame mate mateIn2 short,https://lichess.org/fiSUTLWi/black#50,,True,https://lichess.org/training/Io10l
Io9ch,4k3/5pKp/p3pQp1/1pr5/6P1/1P1R1P2/P6q/8 b - - 10 45,h2e5 d3d8,1077,76,100,176,endgame mate mateIn1 oneMove,https://lichess.org/V2pUVXL0/black#90,,True,https://lichess.org/training/Io9ch
IojE3,3Q1k2/pp2p1r1/3p1pp1/8/4PR2/1P2q2P/1Pr3P1/5R1K b - - 1 25,f8f7 f4f6 e7f6 f1f6,1949,98,83,46,endgame mate mateIn2 sacrifice short,https://lichess.org/sojGjnIE/black#50,,True,https://lichess.org/training/IojE3
Ip2fR,1Q2n1k1/pp3p1p/r3p1pB/1r4N1/3P3P/3q1P2/2R2P2/1K4R1 w - - 3 29,b1c1 a6a1,1029,77,83,232,mate mateIn1 middlegame oneMove,https://lichess.org/I7HnVWtg#57,,True,https://lichess.org/training/Ip2fR
IpX4W,2q1r3/5R2/5Q1p/p2p2nk/2p3P1/2P4P/P7/6K1 b - - 0 46,h5h4 f6f2 h4h3 f2h2 h3g4 f7f4,2234,81,65,65,endgame long mate mateIn3 sacrifice,https://lichess.org/klPdh3yg/black#92,,True,https://lichess.org/training/IpX4W
Ipnjy,4r2k/1p3p2/p4p1p/P2Q4/1P6/2P2NqP/R5P1/4r1K1 w - - 1 32,f3e1 e8e1,1167,76,92,738,endgame mate mateIn1 oneMove,https://lichess.org/F3ryEBwV#63,,True,https://lichess.org/training/Ipnjy
Iqc0t,5k2/2p5/5Q1p/3p1pp1/P1b5/4rP2/3q1NPP/1R4K1 b - - 3 30,f8e8 b1b8 e8d7 b8d8,1714,74,99,774,endgame mate mateIn2 short,https://lichess.org/J6GcTKMO/black#60,,True,https://lichess.org/training/Iqc0t
Irgmp,5r2/p3kr2/1p1p3p/3Pn1p1/2P1P3/2Q2N1q/PP6/3BRR1K w - - 0 30,f3h2 f7f1 e1f1 f8f1,1043,79,97,3502,kingsideAttack mate mateIn2 middlegame pin short,https://lichess.org/UtjXtRyf#59,,True,https://lichess.org/training/Irgmp
IrvQI,6k1/1p3pp1/4p1n1/pP4N1/P1Q1PP2/4q1P1/2R3KP/3r4 w - - 7 39,c4e2 g6f4 g3f4 d1g1,2449,83,87,440,endgame mate mateIn2 sacrifice short,https://lichess.org/Bg9tRODk#77,,True,https://lichess.org/training/IrvQI
