PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rooks,puzzle_ref
10qNK,2k1r3/p1p3pp/2p3b1/6N1/3p4/PQ6/1P1KrP1P/RN6 w - - 5 20,d2d1 e2e1 d1d2 e8e2,930,141,33,21,mate mateIn2 middlegame short,https://lichess.org/0iNc9LPJ#39,,True,https://lichess.org/training/10qNK
11RKr,r1b1Rbk1/p7/1pp2Bp1/3p4/2P5/1P1q1pP1/P2N4/2K4R b - - 0 24,c8f5 h1h8 g8f7 h8f8,1578,74,97,2334,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/ObBWlsHw/black#48,,True,https://lichess.org/training/11RKr
12Z7m,6k1/5pp1/1Pp4p/2R5/1QP1b3/4B2P/4KP2/3r2r1 w - - 3 35,f2f3 e4d3 e2f2 d1f1,1546,75,91,439,endgame mate mateIn2 short,https://lichess.org/ZBy2LavO#69,,True,https://lichess.org/training/12Z7m
12b8Q,3r1k2/6p1/1p3r1p/p2B2p1/P2n1q2/3QRP1P/1P4P1/4R1K1 b - - 0 34,d8d5 e3e8 f8f7 e1e7,904,88,95,1678,mate mateIn2 middlegame short,https://lichess.org/ropNNCD9/black#68,,True,https://lichess.org/training/12b8Q
133yX,8/5pk1/6pp/1N6/1PP2P2/1R2R1PK/4r2r/8 w - - 0 39,h3g4 f7f5 g4f3 h2f2,1705,130,100,18,endgame mate mateIn2 short,https://lichess.org/91Xw0X7x#77,,True,https://lichess.org/training/133yX
13VvB,8/p1r5/Kp1p2r1/2p5/P1P2k2/2PR2p1/8/5R2 b - - 1 46,f4e4 f1f3 g3g2 d3e3,1845,97,100,34,endgame mate mateIn2 rookEndgame short,https://lichess.org/mBHWpEef/black#92,,True,https://lichess.org/training/13VvB
13Wql,8/pR5p/6k1/3P4/8/P1B3PK/1P2r2r/8 w - - 0 37,h3g4 h7h5 g4f3 h2f2,1565,75,87,1283,endgame mate mateIn2 short,https://lichess.org/F5lebvwl#73,,True,https://lichess.org/training/13Wql
148pY,7R/1p5p/p1p2R2/8/1P1P2kP/2P4r/1P4K1/7r w - - 12 41,h8h7 h3h2,1456,91,80,1209,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/mglvtRFZ#81,,True,https://lichess.org/training/148pY
14Y9c,8/1Rk2p2/4p3/1R2P3/2p1P3/6p1/3rn1P1/5KBr b - - 0 43,c7c6 b5b6,1522,78,90,6819,endgame master mate mateIn1 oneMove,https://lichess.org/aetOb40N/black#86,,True,https://lichess.org/training/14Y9c
14qoD,8/8/pp6/2p4r/1k2P3/1P1PPR2/2P2RK1/5N1r w - - 2 47,f1g3 h5h2,1024,80,92,759,endgame master mate mateIn1 oneMove,https://lichess.org/Ur9Sm5ys#93,,True,https://lichess.org/training/14qoD
15lLp,r5k1/pp3r1p/n2p1pQ1/3Pp3/4P3/2NB1P1R/PP3q2/2K4R b - - 0 18,h7g6 h3h8 g8g7 h1h7,1092,79,97,9318,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/0nbVdmf8/black#36,Queens_Pawn_Game Queens_Pawn_Game_Other_variations,True,https://lichess.org/training/15lLp
172Mp,1r3k2/ppR3Rp/2p1r3/8/8/7P/PP4P1/1b4K1 b - - 0 25,b8e8 c7f7,1076,75,98,939,endgame mate mateIn1 oneMove,https://lichess.org/aewIsbeL/black#50,,True,https://lichess.org/training/172Mp
17PDD,7r/1p1k1p2/2n4r/p1pN1P1q/2P3p1/P5P1/1P2PPB1/R2QR1K1 w - - 1 24,e2e3 h5h1 g2h1 h6h1 g1g2 h8h2,1694,74,92,441,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/lNWmYUsH#47,,True,https://lichess.org/training/17PDD
17R1P,8/p1R3Rp/r2k1p2/4bP1r/4P3/8/P7/5K2 b - - 5 45,a6a2 g7d7,1043,76,99,435,endgame mate mateIn1 oneMove,https://lichess.org/yfLtXbgZ/black#90,,True,https://lichess.org/training/17R1P
17YiZ,6Qk/4b1p1/2qp1r1p/p1p2B2/4P1R1/6RP/PP4P1/6K1 b - - 0 30,h8g8 g4g7 g8f8 g7g8 f8f7 g3g7,1144,76,95,7278,endgame fork long mate mateIn3,https://lichess.org/CdlNCDtQ/black#60,,True,https://lichess.org/training/17YiZ
17hFV,7k/7p/R1N5/p7/2P5/b7/1r2rPP1/3K1R2 w - - 4 42,a6a5 b2d2,1526,88,84,1244,endgame mate mateIn1 oneMove,https://lichess.org/ybtYqxsL#83,,True,https://lichess.org/training/17hFV
18j7k,8/pR4p1/2p2k1p/8/P1P3R1/6PK/4rr2/8 w - - 3 43,g4g7 f2h2 h3g4 h6h5 g4f3 h2f2,1721,74,94,375,endgame long mate mateIn3 rookEndgame,https://lichess.org/9nyYkRbi#85,,True,https://lichess.org/training/18j7k
19YtT,6rk/p4R2/1p5p/2p5/4R3/P1P1P2K/1P4r1/8 w - - 0 40,e4h4 g8g3,1062,76,99,1292,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/pgWa02hR#79,,True,https://lichess.org/training/19YtT
1AOW7,8/3R1rpp/1k2p3/2p5/8/2N4P/5r2/3R2K1 b - - 1 31,b6c6 d1d6,1250,75,91,926,endgame mate mateIn1 oneMove,https://lichess.org/S8p9aHT7/black#62,,True,https://lichess.org/training/1AOW7
1AVCl,4R1k1/1p4p1/2p2p1p/P1Pq2nP/6P1/5P2/6K1/4R3 b - - 0 40,g8f7 e1e7,975,86,94,582,endgame mate mateIn1 oneMove,https://lichess.org/he666dK0/black#80,,True,https://lichess.org/training/1AVCl
1Aoj7,1r4kQ/p4pb1/4p1p1/5nP1/3P1n2/2P5/Pr3P1R/K6R b - - 1 30,g7h8 h2h8 g8g7 h1h7,1382,86,73,38,mate mateIn2 middlegame short,https://lichess.org/h77CkvgV/black#60,,True,https://lichess.org/training/1Aoj7
1B76y,8/4kp1p/3p2pP/4p3/2n1P3/2R2P2/1rP3P1/rNKR4 w - - 0 36,c3b3 a1b1,1082,80,73,634,endgame master mate mateIn1 oneMove queensideAttack,https://lichess.org/yrhT8kFL#71,,True,https://lichess.org/training/1B76y
1CrkP,5rk1/1R4R1/6p1/8/4r3/6KP/8/8 b - - 3 46,g8h8 g7h7 h8g8 b7g7,1119,119,82,25,endgame mate mateIn2 rookEndgame short,https://lichess.org/sXhGIOPd/black#92,,True,https://lichess.org/training/1CrkP
1D0nE,8/8/4prp1/1p1rR1k1/1P4Pp/P6P/4R1K1/8 b - - 2 45,g5f4 e2e4,1472,79,85,126,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/QtZt6N2r/black#90,,True,https://lichess.org/training/1D0nE
1DHU6,r1bb1r2/pp1q1p2/2n1pB2/3pPk1R/2pP4/2P5/PP3PP1/2KR4 b - - 1 23,f5g4 d1h1 d8f6 e5f6 e6e5 h1h4,2069,176,67,15,capturingDefender long mate mateIn3 middlegame quietMove,https://lichess.org/yPFPN7G6/black#46,,True,https://lichess.org/training/1DHU6
1EGAp,r7/p3p3/2p1P2R/1p3pk1/2pP4/2P2Pr1/P4K2/7R b - - 4 33,f5f4 h1h5,1197,75,99,1352,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/TSm5I1WY/black#66,,True,https://lichess.org/training/1EGAp
1FEns,3b3k/B5p1/7r/3Np3/2P5/3PRpPr/PP3P2/6K1 w - - 7 34,e3f3 h3h1 g1g2 h6h2,853,77,100,381,endgame mate mateIn2 short,https://lichess.org/zXhOcNRq#67,,True,https://lichess.org/training/1FEns
1FZqI,6k1/5p2/5Pp1/2KP4/7R/3r1r2/7R/8 b - - 2 45,f3f6 h4h8 g8g7 h2h7,902,87,81,52,endgame mate mateIn2 rookEndgame short,https://lichess.org/IVsr7Ky8/black#90,,True,https://lichess.org/training/1FZqI
1G6X4,2r3k1/6pp/p3b3/Bp6/3Qp3/P7/1Kq4P/2rB2R1 w - - 4 34,d1c2 c8c2,1246,76,76,123,mate mateIn1 middlegame oneMove,https://lichess.org/BCjxv7i8#67,,True,https://lichess.org/training/1G6X4
1GJMJ,4kr2/pp1r1p2/2p1Q2p/2P2R1n/1P1pP1q1/6P1/P3N1P1/5RK1 b - - 7 26,f7e6 f5f8 e8e7 f1f7,1182,163,88,18,mate mateIn2 middlegame short,https://lichess.org/WmDQk1hi/black#52,,True,https://lichess.org/training/1GJMJ
1Gy2d,8/1p4r1/p1b1R3/3p1kp1/8/2P2p2/PP3K2/4R3 b - - 3 44,g5g4 f2g3 f3f2 e1e5,1788,76,93,92,endgame mate mateIn2 short,https://lichess.org/AqlPlewM/black#88,,True,https://lichess.org/training/1Gy2d
