PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Knight,puzzle_ref
N8sLc,7R/kpQ5/p7/4n3/4Pp2/1PPPb3/PB1r4/3K4 w - - 3 35,d1e1 e5f3 e1f1 d2f2,1849,76,96,13036,endgame mate mateIn2 short,https://lichess.org/5ecmVZMh#69,,True,https://lichess.org/training/N8sLc
NAppn,1r2k3/2R3N1/2p2K2/8/2P4p/8/p5PP/1r6 b - - 1 43,e8d8 g7e6 d8e8 c7e7,1135,77,63,278,endgame master masterVsMaster mate mateIn2 short,https://lichess.org/dJd8Nz6X/black#86,,True,https://lichess.org/training/NAppn
NCM1G,3r1k1r/1R2Rpp1/1p1n3p/3PN3/2P5/1P5P/1q3PPK/8 b - - 1 25,f7f6 e5g6 f8g8 e7g7,1493,75,80,223,fork mate mateIn2 middlegame short,https://lichess.org/giGYnKMW/black#50,,True,https://lichess.org/training/NCM1G
NDo9H,4r1k1/3R2p1/p5PP/1p3N2/1n3K2/2b5/8/8 b - - 2 45,g7h6 f5h6 g8h8 d7h7,1635,88,83,70,endgame mate mateIn2 short,https://lichess.org/2WB4kb8m/black#90,,True,https://lichess.org/training/NDo9H
NElEh,r4b1r/ppp1kB2/6pp/6N1/5K2/8/PP4PP/nN2R3 b - - 1 18,e7f6 e1e6 f6g7 e6g6,974,85,94,442,mate mateIn2 middlegame short,https://lichess.org/NPA0Non9/black#36,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense,True,https://lichess.org/training/NElEh
NElKL,1nb4k/7P/2p1p3/pp2p3/3nNr2/3B4/PPP2P2/2K3R1 b - - 0 28,h8h7 e4f6 h7h6 g1g6,1915,73,95,13393,doubleCheck mate mateIn2 middlegame short,https://lichess.org/iow7huE5/black#56,,True,https://lichess.org/training/NElKL
NFjoE,6r1/1p6/p4k1P/3pRn1K/3P4/8/P7/4R3 w - - 5 46,e1f1 g8g5,653,96,70,251,endgame master mate mateIn1 oneMove,https://lichess.org/8vp6XP4i#91,,True,https://lichess.org/training/NFjoE
NLLyC,k2r4/Pp6/3P1p2/3Np2p/4B3/1R1Pb3/qR5K/6r1 b - - 6 40,a2a1 d5c7 a8a7 b3b7,1478,79,62,75,master mate mateIn2 middlegame short,https://lichess.org/1wZjoJ4l/black#80,,True,https://lichess.org/training/NLLyC
NLQeP,r4r1k/p2n1N2/1p1N3P/3Pp3/8/5p2/PP6/1K4R1 b - - 1 30,f8f7 d6f7 h8h7 g1g7,1233,78,75,101,endgame hangingPiece mate mateIn2 short,https://lichess.org/qzwBwrGN/black#60,,True,https://lichess.org/training/NLQeP
NLbg8,2r1kbnr/1pN3pp/p1n1P3/8/5Bb1/5N2/PPP3PP/3RK2R b K - 0 14,e8e7 f4g5 g8f6 d1d7,2002,93,78,49,mate mateIn2 middlegame pin short,https://lichess.org/q9tOx2bh/black#28,Vienna_Game Vienna_Game_Vienna_Gambit,True,https://lichess.org/training/NLbg8
NOVGX,1r3r1k/3bN1p1/4p1Pp/3p4/p1pPpP1Q/2b1Pq1P/P1B3RK/8 b - - 1 35,b8b2 h4h6 g7h6 g6g7 h8h7 g7f8n h7h8 g2g8,1939,75,90,1980,advancedPawn fork mate mateIn4 middlegame promotion sacrifice underPromotion veryLong,https://lichess.org/1plwqVL4/black#70,,True,https://lichess.org/training/NOVGX
NOuYV,4Q3/p6p/5p1k/2b1Nq2/3n4/6P1/PPr4P/R4RK1 w - - 0 23,f1f5 d4f3 g1f1 c2f2,1884,77,90,1325,doubleCheck mate mateIn2 middlegame short,https://lichess.org/cIsSZrou#45,,True,https://lichess.org/training/NOuYV
NQiTX,4r3/8/1p6/2b2N2/8/5K2/2R5/7k b - - 7 62,e8e1 f5g3 h1g1 c2g2,1099,76,92,1921,endgame master masterVsMaster mate mateIn2 short,https://lichess.org/dURCDKuz/black#124,,True,https://lichess.org/training/NQiTX
NRnjD,4r1k1/7R/5K2/p3p1N1/1n3p2/8/5rPP/8 b - - 0 37,e8a8 h7g7 g8f8 g5e6 f8e8 g7e7,2136,75,93,7641,endgame exposedKing long mate mateIn3,https://lichess.org/doEvZklA/black#74,,True,https://lichess.org/training/NRnjD
NRuUk,8/p2r3p/8/3r1N1k/4KP2/8/PP4RP/3R4 b - - 0 35,d5d1 g2g5,1110,78,91,729,endgame mate mateIn1 oneMove,https://lichess.org/nn4DfZ8d/black#70,,True,https://lichess.org/training/NRuUk
