PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Knight,puzzle_ref
3uRfk,8/8/6p1/1P6/4P2R/4kn1P/2r5/3Q2K1 w - - 8 61,g1f1 c2f2,1279,79,71,135,endgame mate mateIn1 oneMove,https://lichess.org/2Fe8fP5o#121,,True,https://lichess.org/training/3uRfk
44v5r,6k1/3R4/1p3N1p/3pN3/3Pb3/8/5K2/qr6 b - - 1 49,g8f8 d7f7,1714,80,71,191,endgame mate mateIn1 oneMove,https://lichess.org/OWUMoP1C/black#98,,True,https://lichess.org/training/44v5r
46UFW,8/8/8/R2p4/7R/P3knP1/1P1r3P/5K2 w - - 5 42,a5d5 d2f2,1614,79,95,400,endgame master mate mateIn1 oneMove,https://lichess.org/lvYZS5Z8#83,,True,https://lichess.org/training/46UFW
47NoD,3k4/2R4p/p2P4/P1N5/8/5P1K/1bp1r3/8 b - - 8 49,e2d2 c5e6 d8e8 c7e7,1998,84,64,66,endgame mate mateIn2 short,https://lichess.org/gVRBZTIg/black#98,,True,https://lichess.org/training/47NoD
47oJP,8/8/4p1B1/1R6/P5p1/4nkP1/5r2/4K3 w - - 0 50,a4a5 f2e2,1704,75,92,805,endgame mate mateIn1 oneMove,https://lichess.org/UQXtil2Z#99,,True,https://lichess.org/training/47oJP
4FjT7,3B4/1R4p1/1P3pkp/2Np4/8/1P2pn1P/1r6/5K2 w - - 0 57,b7e7 b2f2,1908,75,95,2085,endgame mate mateIn1 oneMove,https://lichess.org/WiBa9CBG#113,,True,https://lichess.org/training/4FjT7
4HM3N,4rrn1/5Rk1/2p1b2N/p2pq1p1/8/P1PB1QPP/6PK/5R2 b - - 0 27,e6f7 f3f7 f8f7 f1f7 g7h8 f7h7,2142,78,91,781,exposedKing long mate mateIn3 middlegame,https://lichess.org/tv23Nh6n/black#54,,True,https://lichess.org/training/4HM3N
4gNuL,8/3b1p2/prrPp1pp/1p3k2/3RNP2/P4K2/1P3P2/3R4 b - - 14 30,c6c2 d4d5 e6d5 d1d5 f5e6 d5e5,1863,74,97,713,endgame long mate mateIn3 sacrifice,https://lichess.org/XwxHThcd/black#60,,True,https://lichess.org/training/4gNuL
4p4Fi,6k1/5pp1/7p/1N6/8/P5P1/2r1rn1P/3R1RK1 w - - 0 26,b5d4 f2h3 g1h1 e2h2,1089,75,86,145,discoveredAttack endgame mate mateIn2 short,https://lichess.org/XPsqikGa#51,,True,https://lichess.org/training/4p4Fi
4wDQD,8/8/6R1/6Np/1r4kP/6n1/5K2/8 b - - 0 59,g4h4 g5f3 h4h3 g6g3,953,104,100,34,discoveredAttack endgame mate mateIn2 short,https://lichess.org/RalAdeTh/black#118,,True,https://lichess.org/training/4wDQD
4wWap,7N/pp5R/2k1p3/4Pn2/1P1P2K1/r7/3bp1P1/4R3 w - - 2 36,e1e2 a3g3 g4h5 g3g5,1424,75,91,1083,endgame mate mateIn2 short,https://lichess.org/AwbIKN6p#71,,True,https://lichess.org/training/4wWap
4yjpD,1r3r1k/2R1Nn2/1n5R/pp1p3N/3P4/1P2PP2/P5P1/6K1 b - - 0 34,f7h6 e7g6 h8g8 c7g7,1459,77,92,642,fork mate mateIn2 middlegame short,https://lichess.org/RJ10nsJs/black#68,,True,https://lichess.org/training/4yjpD
54uxc,8/r7/p1R5/1p2pp2/1P2k1p1/P5P1/2N1KPP1/2b5 b - - 3 45,c1b2 c2e3 f5f4 f2f3 g4f3 g2f3 e4d4 c6d6 d4c3 d6d3,2377,79,93,128,endgame mate mateIn5 veryLong,https://lichess.org/cmcICYSs/black#90,,True,https://lichess.org/training/54uxc
5LH7y,4r3/1p3k2/1b3p2/pP1p1Pp1/P1p3P1/2PnrKN1/3B2R1/3R4 w - - 0 39,d2e3 e8e3,1247,94,62,52,mate mateIn1 middlegame oneMove,https://lichess.org/ACUDQSFV#77,,True,https://lichess.org/training/5LH7y
5pWl2,r1b2kr1/p7/1p2p1pN/3pb1Np/7P/3K4/PP6/R4R2 b - - 1 31,f8g7 f1f7 g7h8 f7h7,1499,75,90,306,mate mateIn2 middlegame short,https://lichess.org/JfPJ9ne0/black#62,,True,https://lichess.org/training/5pWl2
5uTyu,7k/8/3p2RP/p1pP2Nr/1p3p2/1P6/P1P1rP2/2K5 b - - 1 37,e2f2 g5f7 h8h7 g6g7,997,120,67,16,endgame mate mateIn2 short,https://lichess.org/ez9di3aL/black#74,,True,https://lichess.org/training/5uTyu
66WJy,7k/pp3R2/2b3Bp/2bNp3/4P2P/8/P1r3P1/5K2 b - - 2 27,c2a2 f7h7 h8g8 d5f6 g8f8 h7f7,1631,74,100,1422,endgame exposedKing long mate mateIn3,https://lichess.org/TsAgcnRl/black#54,,True,https://lichess.org/training/66WJy
6DUkh,1r4k1/2p2N2/p5p1/3P2Nb/5p1P/P2rn3/8/R1B1K2R w KQ - 0 31,e1f2 b8b2 c1b2 d3d2 f2e1 d2e2,2214,79,90,536,exposedKing fork long mate mateIn3 middlegame sacrifice,https://lichess.org/GsWF5xXR#61,,True,https://lichess.org/training/6DUkh
6RGpK,8/2R1k2p/r3p1p1/5p2/p2P4/N3nP1P/6P1/6K1 b - - 1 32,e7d6 a3b5 d6d5 c7c5,1614,75,100,226,endgame mate mateIn2 short,https://lichess.org/agKEvp8L/black#64,,True,https://lichess.org/training/6RGpK
6TmXx,2R5/8/8/5P2/3k4/1pn3N1/7r/2K5 w - - 2 45,c8b8 h2c2,1850,78,88,1220,endgame mate mateIn1 oneMove,https://lichess.org/j8iyFExW#89,,True,https://lichess.org/training/6TmXx
6Uq2I,3r2nr/p1p2ppp/k7/P7/2P5/PN6/5P1P/1R2KR2 b - - 3 19,g8f6 b3c5 a6a5 b1b5,1586,75,98,736,endgame mate mateIn2 short,https://lichess.org/byAk8J8S/black#38,,True,https://lichess.org/training/6Uq2I
6bwK9,3k4/ppp1NR2/3p4/4p1p1/2PnP1n1/2NP2P1/PP5r/R5K1 w - - 2 28,e7f5 d4f3 g1f1 h2f2,1814,76,93,314,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/XhlEouYx#55,,True,https://lichess.org/training/6bwK9
6mnLR,4N3/8/7p/R7/6R1/1Pk5/1n3r2/3K4 w - - 23 59,d1e1 b2d3 e1d1 f2d2,1680,85,72,35,endgame mate mateIn2 short,https://lichess.org/t7bMPyKF#117,,True,https://lichess.org/training/6mnLR
6nKgr,r1r5/2p2ppp/2NBk3/pp2p1P1/2b1P3/P1P2P1P/1KPR4/3R4 b - - 0 27,c7d6 d2d6,1330,245,100,17,endgame master mate mateIn1 oneMove,https://lichess.org/W4uAKwVc/black#54,,True,https://lichess.org/training/6nKgr
