PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,Quadrant,rook_king_dir,puzzle_ref
dQfGf,2r4k/1p3p1p/7n/p7/2bB3r/P6P/1PB2P2/2KR2R1 b - - 5 28,f7f6 d4f6,700,86,76,92,mate mateIn1 middlegame oneMove,https://lichess.org/ekcJnECN/black#56,,True,,,https://lichess.org/training/dQfGf
4dvCf,r4k1r/ppp3pp/3R1p2/2B2b2/2B5/2P4P/PPP3P1/2K1R3 b - - 0 17,c7d6 c5d6,701,93,44,59,endgame mate mateIn1 oneMove,https://lichess.org/3TusytQo/black#34,Russian_Game Russian_Game_Nimzowitsch_Attack,True,,,https://lichess.org/training/4dvCf
WYppS,rnb4r/p3kBpp/2p2n2/1p4N1/1B2p3/8/PPP2PPP/3RK2R b K - 3 16,c6c5 b4c5,701,79,83,110,mate mateIn1 middlegame oneMove,https://lichess.org/GHbGOrZR/black#32,Elephant_Gambit Elephant_Gambit_Paulsen_Countergambit,True,,,https://lichess.org/training/WYppS
sa2O2,r3r1k1/pp5p/2pp4/4p1Bq/4PP2/2PP4/PP1Q1K2/6R1 b - - 1 23,g8h8 g5f6,701,99,96,798,endgame mate mateIn1 oneMove,https://lichess.org/OUqOLWGb/black#46,,True,,,https://lichess.org/training/sa2O2
f7XBN,r1q1b1kQ/1p5p/p3p3/6Bp/2P5/2N5/PP3P1P/2KR2R1 b - - 0 21,g8h8 g5f6,701,99,94,116,mate mateIn1 middlegame oneMove,https://lichess.org/rgeVLbam/black#42,,True,,,https://lichess.org/training/f7XBN
uVtWq,2kr1bnr/pppb2pp/5p2/8/8/1NP2N2/PP2KPPP/R1B1R3 w - - 0 13,c1e3 d7b5 c3c4 b5c4,702,100,100,41,mate mateIn2 middlegame short,https://lichess.org/kmuRuWr1#25,French_Defense French_Defense_Tarrasch_Variation,True,,,https://lichess.org/training/uVtWq
GB42d,3r2k1/p5pp/1p1N2r1/3b1p2/8/PP2BP2/5P1P/2R2RK1 w - - 1 24,g1h1 d5f3,703,102,92,121,mate mateIn1 middlegame oneMove,https://lichess.org/LMdisTXF#47,,True,,,https://lichess.org/training/GB42d
3CxaN,6r1/1p1k1p1p/p2b4/3p4/PP2p1bP/2P1P3/1B3P1P/RN3RK1 w - - 1 18,g1h1 g4f3,703,98,93,339,mate mateIn1 middlegame oneMove,https://lichess.org/j5DRIr1v#35,Queens_Pawn_Game Queens_Pawn_Game_Colle_System,True,,,https://lichess.org/training/3CxaN
2QXCw,5r1k/7b/8/4B3/5n2/5P2/5K2/3r2R1 b - - 4 41,f8f6 e5f6,704,84,80,446,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/8jFl0O02/black#82,,True,,,https://lichess.org/training/2QXCw
XWFgr,r3qr1k/2p2b1p/2pb4/p3p1B1/1p2P3/2N4P/PPP1QP2/1K4RR b - - 3 22,b4c3 g5f6,705,80,100,240,master mate mateIn1 middlegame oneMove,https://lichess.org/iWZYEfLj/black#44,,True,,,https://lichess.org/training/XWFgr
MIHwf,3R4/1b4pk/p2B3p/1p3pr1/1P2P3/P4P2/1P5P/5R1K w - - 0 35,f3f4 b7e4 f1f3 e4f3,707,87,44,50,endgame mate mateIn2 short,https://lichess.org/fBAi4kyq#69,,True,,,https://lichess.org/training/MIHwf
S7ZC2,r7/1pk1b3/p3pN2/3pPn2/8/2B2n1P/PP6/2R4K b - - 5 42,c7d8 c3a5 b7b6 a5b6,707,104,87,1069,mate mateIn2 middlegame short,https://lichess.org/hKnvm8ll/black#84,,True,,,https://lichess.org/training/S7ZC2
